campaign_id,age,gender,interest,ctr
1,0.30434782608695654,1.0,0.5942344763271153,0.37172185319875645
0,0.3695652173913043,1.0,0.04567164747618345,0.1
2,0.391304347826087,0.0,0.4399672220620265,0.10195016171876575
2,0.7391304347826086,0.0,0.6617984635493751,0.224374721931686
1,0.2826086956521739,0.0,0.5108884678420905,0.31208597903027613
1,0.782608695652174,1.0,0.1216612975068012,0.3290103295152328
1,0.5,1.0,0.5429020794699994,0.4148685410323756
2,0.043478260869565216,1.0,0.11128702358339491,0.17473235877112225
0,0.1956521739130435,0.0,0.8456199863362428,0.1
0,0.34782608695652173,1.0,0.33338260524034286,0.1
2,0.8260869565217391,1.0,0.0754557156421345,0.5507049662874934
0,0.4782608695652174,0.0,0.1423130793500317,0.1
2,0.391304347826087,0.0,0.5159157015555578,0.1
1,0.2608695652173913,1.0,0.09852472876684991,0.14563556666637703
1,0.0,0.0,0.556153008683029,0.23743258663657474
0,0.10869565217391304,0.0,0.9593824476732531,0.1
2,0.5,1.0,0.9000912185777754,0.24190608403927003
0,0.9347826086956522,0.0,0.4923438507121886,0.1
0,0.10869565217391304,0.0,0.4602987310809527,0.1
2,0.1956521739130435,1.0,0.3213747886168164,0.20705353974404
2,0.13043478260869565,1.0,0.3442093230006588,0.17199294085381045
1,0.9565217391304348,0.0,0.47099307438960614,0.5191545475311616
1,0.08695652173913043,1.0,0.8388794732765384,0.40387503710753164
1,0.782608695652174,1.0,0.28582527683042636,0.39909514005264435
2,0.5217391304347826,0.0,0.6459279074731974,0.12479015636829079
2,0.043478260869565216,1.0,0.32730013588316687,0.13414351873143746
1,0.043478260869565216,1.0,0.8190331801578695,0.3809441576481696
2,0.3695652173913043,1.0,0.5409210965607238,0.2478541256749519
1,0.5217391304347826,1.0,0.1644202307275946,0.26051629883413596
1,0.9347826086956522,0.0,0.709785579956244,0.6138706795979008
1,0.7608695652173914,1.0,0.042702738183083955,0.28807232312447134
0,0.41304347826086957,0.0,0.6962589355978351,0.1
0,0.5869565217391305,0.0,0.1974379110038762,0.1
0,0.4782608695652174,0.0,0.6639611930185051,0.1
0,0.6521739130434783,1.0,0.1557932776841695,0.12134254204141076
2,0.45652173913043476,0.0,0.6302879215001335,0.1
0,0.8695652173913043,0.0,0.17950871687881156,0.16647856201988878
1,0.2608695652173913,0.0,0.5329168892207048,0.3142612879869429
1,0.3695652173913043,1.0,0.2299021396186771,0.23786842329971702
2,0.6956521739130435,0.0,0.6890452012942341,0.19874173464569855
1,1.0,1.0,0.14102163304635448,0.40956618071019846
1,0.8913043478260869,1.0,0.841743576985472,0.6725727978585052
0,0.9565217391304348,1.0,0.9733439518829708,0.1
0,0.782608695652174,1.0,0.6207007707230429,0.1
0,1.0,0.0,0.3989269669373342,0.12927865580251022
2,0.0,0.0,0.45921388708007027,0.1
1,0.8043478260869565,1.0,0.029164680911276043,0.2967507710719322
0,0.717391304347826,0.0,0.2391539259109122,0.10793419797431145
1,1.0,1.0,0.45149042845623727,0.5421113760309397
2,0.13043478260869565,0.0,0.7414712471268148,0.1
0,0.1956521739130435,0.0,0.1732083441789991,0.1
0,0.043478260869565216,1.0,0.49214545400837684,0.1
0,0.7608695652173914,0.0,0.27485913213776,0.10762485555960147
2,0.0,1.0,0.4267528621981222,0.1
0,0.5434782608695652,1.0,0.3461511796872949,0.1
2,0.8043478260869565,1.0,0.6552715504108392,0.43150097058376086
0,0.45652173913043476,1.0,0.7137109758472778,0.1
2,0.2608695652173913,0.0,0.11221291469647053,0.10199517523717119
2,0.6739130434782609,0.0,0.7728819698274266,0.17273215092992147
2,0.1956521739130435,1.0,0.8478162880434972,0.10813523991033161
0,0.08695652173913043,1.0,0.21060795004598135,0.1
2,0.32608695652173914,1.0,0.22607379209577935,0.2865005712898419
1,0.6521739130434783,0.0,0.33904254925754845,0.3616155261259817
2,0.5217391304347826,1.0,0.0015985058211019619,0.4209894300624854
2,0.8695652173913043,1.0,0.9371523034714407,0.40930560048186093
1,0.5434782608695652,1.0,0.38168600645322864,0.36050035842988415
